external_id,ticket_id,customer_message,true_category,predicted_category,category_confidence,true_priority,predicted_priority,priority_confidence,category_correct,priority_correct,error_type,likely_reason
hf-tobi-005904,hf-tobi-005904,"Assistance with WooCommerce OBS Studio Integration

Seeking clarification on the SaaS capabilities, particularly the integration between WooCommerce and OBS Studio. Would be grateful for detailed information on the services the platform supports, including setup and customization procedures, as well as accessible documentation and support resources.",sales_and_pre_sales,sales_and_pre_sales,0.3663,medium,high,0.4897,True,False,low_confidence,low_confidence
hf-tobi-014231,hf-tobi-014231,"Expansion of Digital Brand Strategy

Seek to augment digital strategies for enhanced brand growth, concentrating on products that have been affected to improve customer engagement and overall sales revenue.",customer_service,sales_and_pre_sales,0.2398,medium,high,0.3811,False,False,low_confidence,low_confidence
hf-tobi-010273,hf-tobi-010273,"Multiple Products Affected by Data Security Breach

A security incident has been identified due to weak access controls.",customer_service,returns_and_exchanges,0.2502,low,medium,0.3673,False,False,low_confidence,low_confidence
hf-tobi-001121,hf-tobi-001121,"Cybersecurity Threat

Hospital infrastructure at risk due to obsolete software.",customer_service,general_inquiry,0.1637,high,medium,0.4663,False,False,low_confidence,low_confidence
hf-tobi-002391,hf-tobi-002391,"Problem Detected with Data Analytics System

The company's data analytics platform experiences sporadic delays in executing investment optimization computations, potentially due to recent software upgrades. Restarting the system and clearing caches temporarily fixed the problem. We require assistance to permanently resolve this issue promptly.",technical_support,technical_support,0.3223,medium,high,0.4456,True,False,low_confidence,low_confidence
hf-tobi-000215,hf-tobi-000215,"Network Connectivity Concerns

Dear Customer Support,\n\nWe are currently facing connectivity performance problems across several devices in different departments. The affected equipment includes dash cameras, iMac computers, audio interfaces, and networking hardware. These issues started after recent updates to our network infrastructure.\n\nWe have already tried rebooting the impacted devices and the network switch, but the problems remain. The disruptions are hindering our daily activities, and we urgently need help to identify and fix the underlying cause.\n\nCould you please",technical_support,technical_support,0.2621,high,medium,0.5039,True,False,low_confidence,low_confidence
hf-tobi-011707,hf-tobi-011707,"Problems with Data Integration Between Various Platforms

Currently facing challenges with data integration among multiple platforms. This might be due to API inconsistencies or recent system updates. Already attempted restarting the applications and double-checked API keys, but the issue still exists. Assistance is required.",product_support,product_support,0.3159,high,medium,0.4502,True,False,low_confidence,low_confidence
hf-tobi-010157,hf-tobi-010157,"Details on Integrating Elasticsearch for Project Management

Could you provide more details on integrating Elasticsearch in a project management SaaS? I need relevant information on this topic.",billing_and_payments,sales_and_pre_sales,0.2388,low,low,0.4187,False,True,low_confidence,low_confidence
hf-tobi-022556,hf-tobi-022556,"Request for Support with KNIME

Have encountered unexpected crashes while running workflows in KNIME software on Linux. The problem might be due to high memory usage or compatibility issues. Steps like restarting the application and clearing cache have been taken, but the issue still persists. Would greatly appreciate any assistance in resolving this matter.",technical_support,technical_support,0.4775,low,high,0.4273,True,False,priority_depends_on_metadata,priority_depends_on_metadata
hf-tobi-003286,hf-tobi-003286,"Encountering sporadic crashes across various software programs during digital campaign management. Recent system upgrades might be responsible. Restarted devices, reinstalled the impacted applications, verified user permissions, but the problem continues. I suspect compatibility problems stemming from recent operating system updates that are interfering with workflows. Kindly assist in resolving this matter.",technical_support,technical_support,0.3797,high,medium,0.5756,True,False,low_confidence,low_confidence
hf-tobi-016259,hf-tobi-016259,"Team Collaboration Software

Customer Support, seeking integration with Subversion, Bitbucket, and Microsoft Teams to improve project management and team collaboration. This integration will allow direct access to version control systems from Microsoft Teams, simplifying the tracking of changes, project management, and communication among team members. It will also enable us to receive notifications and updates on project activities, enhancing real-time collaboration and issue resolution. We believe this integration will bring significant benefits to our team's collaboration and productivity.",it_support,general_inquiry,0.2392,high,medium,0.4934,False,False,low_confidence,low_confidence
hf-tobi-003959,hf-tobi-003959,"Experiencing a report problem with digital tools integration that is affecting campaign execution. The issue seems to be linked to incompatible or outdated software versions. Attempts to fix the problem included updating Node.js, reinstalling Joomla, and troubleshooting OBS Studio configurations, but these efforts have not been successful. Your prompt support in resolving this issue would be highly valued to reduce the impact on ongoing campaigns.",customer_service,technical_support,0.2575,high,high,0.541,False,True,low_confidence,low_confidence
hf-tobi-014085,hf-tobi-014085,"Concern Regarding MongoDB Synchronization

The investment optimization process has been disrupted due to synchronization issues with MongoDB 4.4, following recent updates to Zoho CRM, which might be due to compatibility conflicts or data conversion errors. Attempts to reset connections and verify configurations have been unsuccessful, and I need assistance in resolving this issue.",customer_service,technical_support,0.208,medium,medium,0.5408,False,True,low_confidence,low_confidence
hf-tobi-018848,hf-tobi-018848,"Unanticipated corruption of digital campaign files occurred today

The digital campaign files have been corrupted unexpectedly. I have tried restarting and verifying the updates, but the issue persists.",it_support,technical_support,0.3759,low,high,0.5779,False,False,low_confidence,low_confidence
hf-tobi-023006,hf-tobi-023006,"Issues with VPN Router Connections

Frequent random disconnections have been happening recently due to an overloaded network.",product_support,it_support,0.2996,medium,high,0.6172,False,False,low_confidence,low_confidence
hf-tobi-004915,hf-tobi-004915,"Shopify IBM Cloud Platform Assistance

Customer Support is seeking guidance on integrating digital strategies to boost brand growth utilizing Shopify IBM Cloud services. Could you offer detailed instructions on how to utilize these platforms to optimize business processes and increase customer engagement? We would be grateful for any resources or documentation to help us begin. Thank you for your time and support. We look forward to your prompt response.",customer_service,customer_service,0.3462,low,high,0.4556,True,False,low_confidence,low_confidence
hf-tobi-001126,hf-tobi-001126,"Problem with Investment Data Analysis

A financial organization encountered disruptions impacting the analysis of investment data across several products. The potential reason identified is integration conflicts. The initial steps taken included restarting the impacted software and verifying connectivity to cloud services. Further investigation is ongoing.",human_resources,sales_and_pre_sales,0.2185,high,low,0.4692,False,False,low_confidence,low_confidence
hf-tobi-012136,hf-tobi-012136,"Inquiry on Digital Strategies for Dell UltraSharp U2720Q

Seeking detailed information on digital strategies products, specifically Dell UltraSharp U2720Q. Looking to learn about a marketing plan to promote the product. Would greatly appreciate the provided information on this topic.",returns_and_exchanges,returns_and_exchanges,0.2799,high,medium,0.4616,True,False,low_confidence,low_confidence
hf-tobi-012704,hf-tobi-012704,require assistance in optimizing investments via H2O.ai financial analytics tools,customer_service,product_support,0.1815,medium,medium,0.3853,False,True,low_confidence,low_confidence
hf-tobi-022594,hf-tobi-022594,"Data analytics dashboard has failed to load

Incompatible software updates might be the reason for the problem",product_support,technical_support,0.3018,medium,low,0.3415,False,False,low_confidence,low_confidence
hf-tobi-014397,hf-tobi-014397,"Concerns Regarding Digital Marketing Campaign Performance

Customer Support, <br>We are encountering difficulties with our marketing campaigns, which are underperforming due to inconsistencies in our digital strategies. Recent algorithm changes might be impacting our visibility. We have reviewed and adjusted ad placements and targeting, but the results have not been satisfactory. We would greatly appreciate any guidance on how to optimize our campaigns to better reach our target audience. Could you provide us with some recommendations or suggestions to improve our digital marketing efforts?",technical_support,product_support,0.3306,medium,medium,0.6748,False,True,low_confidence,low_confidence
hf-tobi-008354,hf-tobi-008354,"Concerns about Device Synchronization Procedure

Customer Support, while compiling a report for a project management SaaS application, encountered an issue with device synchronization that affects multiple devices, including iOS and PC. Despite the recent updates to the software, the problem continues to persist. Efforts to clear the cache and reinstall the application have not resolved the issue. It is suspected that the problem might be due to server overload or compatibility issues with the latest software updates. I would greatly appreciate it if you could investigate the matter and provide a solution at the earliest possible convenience.",it_support,technical_support,0.2317,high,low,0.4828,False,False,low_confidence,low_confidence
hf-tobi-023302,hf-tobi-023302,"Payment Options for Medical Data Security Services

I would like to know what payment options are available for your medical data security services. Could you please provide details on the payment methods you accept?",billing_and_payments,billing_and_payments,0.796,low,medium,0.4556,True,False,possible_label_noise,possible_label_noise
hf-tobi-004978,hf-tobi-004978,"Intermittent Connectivity Problems Detected Across Various Tools

We are experiencing sporadic connectivity disruptions affecting data synchronization among multiple integrated tools. The problem might stem from API overloads or network configuration mistakes. Attempts to resolve the issue by clearing caches, rebooting network devices, and verifying API keys have been unsuccessful. We would appreciate it if you could investigate this matter and provide a solution at your earliest convenience. Please let us know if additional information is required to assist in troubleshooting.",general_inquiry,technical_support,0.2559,low,low,0.4275,False,True,low_confidence,low_confidence
hf-tobi-010396,hf-tobi-010396,"Support for Redis SaaS Integration

Hello, I am reaching out to inquire about integrating the Redis 6.2 project management SaaS. I would appreciate any information or guidance you could provide, as well as any resources that might be available. Specifically, I am interested in learning about the benefits and challenges of using Redis SaaS, as well as best practices for implementation. Thank you for your time and assistance. I look forward to hearing back from you soon.",technical_support,human_resources,0.2173,low,low,0.4866,False,True,low_confidence,low_confidence
hf-tobi-023922,hf-tobi-023922,"Support for Securing Medical Data

Facing challenges in securing medical data across various systems, notably QuickBooks Online and SAP ERP. Despite reviewing the software and updating security settings, the issues continue.",product_support,product_support,0.1982,low,medium,0.4331,True,False,low_confidence,low_confidence
hf-tobi-007404,hf-tobi-007404,"Problem with Investment Optimization Software

The investment optimization software is experiencing intermittent issues in accurately analyzing data. This may be due to software integration problems or data input errors. Steps taken, such as rebooting systems and reloading data, have not resolved the issue. This has led to delays in decision-making and potential financial losses. We kindly request your assistance in resolving this matter at your earliest convenience. Please provide us with any additional information or steps needed to troubleshoot.",general_inquiry,product_support,0.2331,low,low,0.4809,False,True,low_confidence,low_confidence
hf-tobi-023092,hf-tobi-023092,"Enhancing Investment Analytics with RapidMiner for Financial Institutions

I would like to request detailed information on the capabilities of RapidMiner that enhance investment analytics for financial institutions. Specifically, I am interested in understanding how RapidMiner aids in making data-driven decisions and enhances investment strategies. Your insights would be greatly appreciated. Thank you for your consideration.",product_support,sales_and_pre_sales,0.3895,high,medium,0.5534,False,False,low_confidence,low_confidence
hf-tobi-012330,hf-tobi-012330,"Customer Support Inquiry for Digital Strategies

Hello Customer Support, I am looking to understand better the digital strategies that could help increase our brand's visibility and engagement. Could you provide more information on the methods used to boost our online presence and interact with customers? I am particularly interested in learning about social media campaigns, email marketing techniques, and content creation strategies. Additionally, I would like to know how you approach measuring the success of digital initiatives and how data is used to inform the decision-making process. I believe a better understanding of these strategies would be very beneficial.",sales_and_pre_sales,customer_service,0.24,medium,medium,0.4283,False,True,low_confidence,low_confidence
hf-tobi-011150,hf-tobi-011150,"Issue with recent system update causing software incompatibility

We regret the inconvenience caused by the software incompatibility issues following the recent system update. We understand that reinstalling and updating the software may resolve the issue. To troubleshoot the problem, could you please provide details of any error messages you are seeing, specifically related to the software experiencing compatibility issues? Additionally, it would be helpful to know the version of the software and operating system you are using. If needed, we can schedule a call at your convenience to discuss the issue and explore possible solutions. Please let us know.",technical_support,technical_support,0.2447,medium,low,0.3523,True,False,low_confidence,low_confidence
hf-tobi-001915,hf-tobi-001915,"Error in Billing System

Reporting problem with inaccurate billing charges on the account. The charges appear to be caused by a system malfunction impacting several product subscriptions. I have attempted to reach support earlier, but the issue persists. I would be grateful if you could investigate this matter and provide a solution at your earliest convenience.",billing_and_payments,billing_and_payments,0.8381,low,high,0.4689,True,False,multiple_intents,multiple_intents
hf-tobi-004497,hf-tobi-004497,"Enhancing Investment Strategy Analytics Capabilities

Deploy sophisticated data analytics solutions to improve investment strategy effectiveness.",it_support,product_support,0.2407,high,high,0.4509,False,True,low_confidence,low_confidence
hf-tobi-011278,hf-tobi-011278,"Hi customer support, I'm interested in learning about the solutions and measures your team employs to secure medical data in hospital systems. Could you provide detailed information on the security protocols and technologies you use to protect sensitive patient information and prevent cyber threats? I would greatly appreciate any details you can provide. Thank you for your time and assistance. I look forward to hearing back from you soon.",customer_service,customer_service,0.2909,high,low,0.4979,True,False,low_confidence,low_confidence
hf-tobi-025737,hf-tobi-025737,"Inquiry about Pricing for Large Teams

I am contacting you to seek information regarding the pricing for large teams using your project management software that includes numerous integrations. Could you supply me with details about the different plans and their respective costs? Additionally, I would be grateful if you could inform me about any discounts applicable for large teams. Also, I would like to know if there are any constraints on the number of integrations that can be utilized with each plan. Thank you for your time and help.",billing_and_payments,billing_and_payments,0.5387,high,low,0.4734,True,False,possible_label_noise,possible_label_noise
hf-tobi-006383,hf-tobi-006383,"Issue with Analytics Software Crash

Customer Support, please review the following issue with the analytics software. The problem is as follows: the analytics software has crashed during data analysis, which might be due to memory overload with large datasets. Steps taken include restarting the software and optimizing data inputs, but the issue remains unresolved. Also, I have ensured that the software is up to date and that the system meets the minimum requirements, but the issue still persists. Your assistance in resolving this matter would be greatly appreciated. Please contact us at <tel_num> for further assistance.",technical_support,technical_support,0.3656,low,high,0.4486,True,False,low_confidence,low_confidence
hf-tobi-018303,hf-tobi-018303,"Problem with Smartsheet Efficiency Today

Customers are facing performance challenges with CPU usage surges during project management activities. This might be caused by simultaneous application integrations and resource overuse. Steps taken include closing unnecessary apps and tweaking settings in Smartsheet, but the issues still exist. We kindly ask for your assistance to address this matter promptly.",product_support,product_support,0.3243,high,medium,0.4533,True,False,low_confidence,low_confidence
hf-tobi-008029,hf-tobi-008029,"Optimizing Data Analytics for Financial Firms

Hello Customer Support, I am seeking detailed information on data analytics solutions that can enhance investment optimization for financial firms. Could you provide specific tools and techniques that you offer? I would greatly appreciate it if you could also share some case studies or examples of successful implementations. Thank you for your assistance, and I look forward to hearing back soon.",sales_and_pre_sales,billing_and_payments,0.2569,low,low,0.4346,False,True,low_confidence,low_confidence
hf-tobi-007384,hf-tobi-007384,"Facing Performance Delays in Project Management

Recently, there have been notable performance delays when using the project management tool. This might be due to increased server load or the integration of third-party products. We have already optimized database queries and scaled servers, but the issue still persists. We need your assistance in identifying the root cause and resolving the issue.",product_support,technical_support,0.2746,high,high,0.4222,False,True,low_confidence,low_confidence
hf-tobi-013419,hf-tobi-013419,"Support Request for ClickUp on MacBook Air

ClickUp is experiencing crashes on my MacBook Air during project management tasks. I suspect there might be compatibility issues with Bitdefender Antivirus Plus 2021. Disabling Bitdefender and optimizing ClickUp settings resolved the issue. Please provide more details on the error message received and the operating system version.",product_support,technical_support,0.2829,high,medium,0.4552,False,False,low_confidence,low_confidence
hf-tobi-009822,hf-tobi-009822,"Concerns Over Digital Engagement Indicators

A marketing firm has noticed a sharp decrease in digital engagement metrics. The drop might be linked to a recent software update that impacted various tools. We have been monitoring analytics and adjusting our content strategies accordingly.",product_support,product_support,0.2958,medium,high,0.3608,True,False,low_confidence,low_confidence
hf-tobi-016491,hf-tobi-016491,"Support Request for Data Analytics Tools Integration with QuickBooks Online

I am contacting you to seek information about data analytics tools that are compatible with QuickBooks Online to enhance investment optimization. I currently use QuickBooks for my business accounting and wish to elevate my investment strategy. Could you kindly provide a list of compatible tools and a brief description of each? Furthermore, I would appreciate any guidance on how to start integrating these tools and optimizing my investments. Also, I would like to know about any specific system requirements or limitations associated with these tools. I am eagerly awaiting your response and am open to discussing the possibilities of investment optimization with QuickBooks Online. Thank you for your support.",product_support,customer_service,0.2319,medium,medium,0.4155,False,True,low_confidence,low_confidence
hf-tobi-003478,hf-tobi-003478,"Protection of Systems

Can you offer comprehensive instructions on safeguarding hospital systems' medical information utilizing H2O.ai Redis 6.2?",technical_support,technical_support,0.1575,medium,high,0.4136,True,False,low_confidence,low_confidence
hf-tobi-025002,hf-tobi-025002,"Assistance with Project Management SaaS Features and Customization

I am seeking details on the various features and customization options available within the project management SaaS platform. Could you provide comprehensive information on the tools and functionalities that the platform offers? This would greatly assist me in tailoring the platform to meet our specific project management needs. Your information will help me better understand the platform and its suitability for our requirements.",product_support,sales_and_pre_sales,0.2869,low,high,0.3737,False,False,low_confidence,low_confidence
hf-tobi-015482,hf-tobi-015482,"Securing Medical Data on a WordPress Healthcare Site

We are reaching out for guidance on securing medical data within a WordPress healthcare site. Our healthcare organization needs to ensure that our website is compliant with relevant regulations as we handle sensitive patient information. Could you provide us with recommendations for plugins, themes, and security practices to secure our WordPress site? We would greatly appreciate advice on data encryption, access controls, and backup procedures. Additionally, we are interested in understanding specific WordPress features that can help maintain the confidentiality of patient data.",customer_service,technical_support,0.2213,low,medium,0.4243,False,False,low_confidence,low_confidence
hf-tobi-018919,hf-tobi-018919,"Comprehensive Insights into Data Analytics Solutions

Customer Support, seeking detailed information on data analytics solutions to optimize investment strategies. Could you provide comprehensive details on the tools and techniques used to analyze market trends and make predictions? I would greatly appreciate any case studies or examples of successful implementations. Additionally, could you explain the customization options available and the level of support provided to clients? Thank you for your time and assistance. I look forward to hearing back soon.",technical_support,sales_and_pre_sales,0.3911,high,high,0.4197,False,True,low_confidence,low_confidence
hf-tobi-012140,hf-tobi-012140,"Enhancing Security for Medical Data with Symantec Endpoint Protection

Customer Support, seeking guidance on securing medical data within a hospital setting using Symantec Endpoint Protection 14.3. Would appreciate recommendations and resources to configure and manage the software to ensure the confidentiality, integrity, and availability of sensitive medical information. Specifically, interested in learning about the software's capabilities to detect threats.",billing_and_payments,it_support,0.2325,medium,medium,0.5438,False,True,low_confidence,low_confidence
hf-tobi-010923,hf-tobi-010923,"Trouble with Billing Discrepancies in Subscription Services

Noticing discrepancies in the billing for my subscription services. The issue might be due to incorrect payment processing through Xero. After re-verifying my account details and reprocessing payments, the problem still persists. I would greatly appreciate your timely assistance in resolving this matter. Could you please let me know the next steps to take to resolve the issue? I am looking forward to hearing from you soon.",billing_and_payments,billing_and_payments,0.8684,low,medium,0.5175,True,False,multiple_intents,multiple_intents
hf-tobi-003552,hf-tobi-003552,"Incorporating Digital Marketing into SAP ERP

Seeking assistance with the integration of digital marketing strategies into SAP ERP system.",it_support,it_support,0.2417,medium,high,0.5009,True,False,low_confidence,low_confidence
hf-tobi-005061,hf-tobi-005061,"Pricing plans for scalability features

Could you provide detailed information about the pricing plans for SaaS scalability features in project management solutions?",customer_service,sales_and_pre_sales,0.3198,low,medium,0.4567,False,False,low_confidence,low_confidence
hf-tobi-002988,hf-tobi-002988,"Report Issue with Investment Analytics Platform

Customer Support is reporting an issue with the investment analytics platform. The system is experiencing delays in data processing, which is disrupting operations. An initial investigation suggests that the problem may be caused by software conflicts among several security analytics tools in use. Attempts to resolve the issue, including rebooting the system and updating software, have not been successful. We would greatly appreciate your assistance in identifying the root cause.",technical_support,it_support,0.3098,high,medium,0.4418,False,False,low_confidence,low_confidence
hf-tobi-018670,hf-tobi-018670,"Enhance Digital Marketing Brand Visibility

Please revise strategies to improve engagement.",product_support,general_inquiry,0.217,medium,medium,0.5321,False,True,low_confidence,low_confidence
hf-tobi-002738,hf-tobi-002738,"Urgent Security Update for Medical Data

Dear Support Team, I hope you can address the urgent need to implement security updates for the hospital's systems that handle medical data. There are recent vulnerabilities that, if left unaddressed, could result in severe data breaches. It is crucial that these updates are implemented as soon as possible to protect sensitive patient information and prevent potential breaches. I would greatly appreciate it if you could provide a timeline for the updates and the measures that will be taken to ensure the security systems are protected. Thank you for your prompt attention to this matter.",service_outages_and_maintenance,it_support,0.2267,high,high,0.744,False,True,low_confidence,low_confidence
hf-tobi-000447,hf-tobi-000447,"Immediate Attention Needed: Multiple Hardware and Software Failures

Dear Customer Support Team,\n\nI am submitting a report regarding a series of critical failures involving hardware and software components that have significantly disrupted our analytics investment processes. Over the past few days, we've noticed sporadic system outages that seem to be associated with potential power supply issues or overheating within the computing environment.\n\nInitially, we observed irregular system sluggishness and occasional application crashes during peak operational hours. After noticing these symptoms, we performed initial troubleshooting steps such as rebooting the affected systems.",technical_support,technical_support,0.3675,medium,high,0.5868,True,False,low_confidence,low_confidence
hf-tobi-009916,hf-tobi-009916,"Report on Network Troubleshooting

Noticing inconsistent network connectivity across various devices.",it_support,service_outages_and_maintenance,0.2251,medium,high,0.4451,False,False,low_confidence,low_confidence
hf-tobi-017776,hf-tobi-017776,"Enhancing Investment Portfolio Optimization with Python 3.9

Dear Customer Support, I am writing to request information on data analytics tools that can optimize investment portfolios using Python 3.9 and GitHub integration. I am keen to learn more about the available tools and their features. Could you kindly offer me some recommendations and details on how to begin? I would also appreciate any advice on best practices for utilizing these tools, as well as any limitations or considerations I should be aware of. Moreover, I would like to know if there are any tutorials or resources available for this topic. Thank you for your time and assistance. I look forward to your response. Best regards, [Your Name]",technical_support,sales_and_pre_sales,0.1482,high,medium,0.4882,False,False,low_confidence,low_confidence
hf-tobi-013878,hf-tobi-013878,"Salesforce Data Analytics Inquiry

Customer Support, I am reaching out to inquire about integrating data analytics with Salesforce CRM for investment optimization. Could you provide information on the topic? I would like to know how data analytics can help me make informed decisions and optimize my investments. I am interested in learning about the tools and features that Salesforce offers for data analytics, such as analyzing customer data and tracking sales performance to identify trends. I would appreciate your guidance in getting started with the integration process.",sales_and_pre_sales,customer_service,0.379,medium,medium,0.4357,False,True,low_confidence,low_confidence
hf-tobi-006425,hf-tobi-006425,There is a known risk of a data breach involving unauthorized access to medical records. This issue might be due to outdated security measures. We have recently updated the antivirus software and reviewed the access logs for any anomalies.,technical_support,human_resources,0.2009,medium,medium,0.5434,False,True,low_confidence,low_confidence
hf-tobi-020355,hf-tobi-020355,"Epson Scanner Security Measures

I am contacting you to seek advice on the security procedures that should be followed for an Epson scanner in a healthcare context. Given the importance of maintaining the privacy and authenticity of patient information in such an environment, I would be grateful if you could offer guidance on the steps needed to secure our Epson scanner and safeguard sensitive data. It would be helpful to receive any suggestions or best practices you can provide.",product_support,service_outages_and_maintenance,0.1784,medium,low,0.461,False,False,low_confidence,low_confidence
hf-tobi-000163,hf-tobi-000163,"Critical Security Breach Impacting EMR Integration Platform

Dear Customer Support Team,\n\nI am submitting a report regarding a severe security breach identified within the EMR/PACS integration framework. The potential intrusion appears to stem from vulnerabilities possibly introduced during recent software updates. Despite launching an immediate 24/7 monitoring and an extensive penetration test to determine the root cause, our investigations have yet to pinpoint the exact origin of the issue.\n\nConsidering the sensitive nature of the data involved and the critical role of this integration in daily operations,",product_support,technical_support,0.2663,medium,high,0.5714,False,False,low_confidence,low_confidence
hf-tobi-001987,hf-tobi-001987,"Customer Support team, I am reaching out to request comprehensive instructions for integrating Cassandra 4.0 into a scalable SaaS project management platform. Could you kindly furnish a detailed, step-by-step guide and direct me to pertinent documentation? I would also appreciate information regarding compatibility, configuration procedures, and optimization techniques for seamless integration. Additionally, any advice on managing potential challenges and avoiding common pitfalls during the integration process would be very helpful. I look forward to your assistance in finding a solution that aligns with our needs.",customer_service,customer_service,0.2452,medium,high,0.3415,True,False,low_confidence,low_confidence
hf-tobi-028186,hf-tobi-028186,"Problem with Investment Reports Due to Incorrect Data Imports

Dear Customer Support, I am contacting you to report a problem with the investment reports I have been receiving. The reports are not accurate, which I suspect is due to incorrect data imports. Upon investigation, I discovered that the integration between Airtable and SAP ERP is not working properly, which is causing the inaccuracies. Despite my efforts to resolve the issue by verifying data sources and restarting the systems, the problem still persists. I would greatly appreciate your help in addressing this issue as soon as possible. Could you please investigate and provide assistance or direct me to the appropriate steps to resolve the integration issues between Airtable and SAP ERP? I am ready to provide any additional information or support needed to solve this problem. Thank you for your time and assistance. Sincerely, [Your Name]",returns_and_exchanges,product_support,0.2792,medium,low,0.4666,False,False,low_confidence,low_confidence
hf-tobi-005834,hf-tobi-005834,"Inquiry About Detailed Specifications and Integration Guidelines for a Scalable SaaS Project Management Platform

Looking for comprehensive details and integration guidelines for a scalable SaaS project management platform. Would greatly appreciate information on the available features and APIs for integration.",technical_support,sales_and_pre_sales,0.2338,high,high,0.6444,False,True,low_confidence,low_confidence
hf-tobi-006218,hf-tobi-006218,"Report on Service Interruption

A service outage happened, impacting several applications, such as Outlook and GitHub, which has affected user access. This might be due to server misconfigurations following a recent software update. Services have been restarted, caches cleared, and connectivity checked, but the issue still persists. Further investigation is needed to resolve the problem.",service_outages_and_maintenance,service_outages_and_maintenance,0.7192,low,high,0.5303,True,False,possible_label_noise,possible_label_noise
hf-tobi-007269,hf-tobi-007269,Facing access problems due to server overload.,technical_support,service_outages_and_maintenance,0.24,high,medium,0.459,False,False,low_confidence,low_confidence
